"0x80b808","Tile Movement Cost","Plains Movement Cost","Road Movement Cost","Village Entrance 1 Movement Cost","Village Entrance 2 Movement Cost","House Movement Cost","Armory Movement Cost","Vendor Movement Cost","Arena 1 Movement Cost","Unknown Movement Cost","Fort Movement Cost","Gate (Normal) Movement Cost","Forest Movement Cost","Thicket Movement Cost","Sand Movement Cost","Desert Movement Cost","River Movement Cost","Mountain Movement Cost","Peak Movement Cost","Bridge Movement Cost","Bridge 2 Movement Cost","Sea Movement Cost","Lake Movement Cost","Floor Movement Cost","Floor 2 Movement Cost","Fence 1 Movement Cost","Wall Movement Cost","Cracked Wall Movement Cost","Rubble Movement Cost","Pillar Movement Cost","Door Movement Cost","Throne Movement Cost","Chest 1 Movement Cost","Chest 2 Movement Cost","Roof Movement Cost","Gate 2 Movement Cost","Church Movement Cost","Ruins 1 Movement Cost","Cliff Movement Cost","Ballista  Movement Cost","Long Ballista  Movement Cost","Killer Ballista  Movement Cost","Flat Movement Cost","Wreck Movement Cost","Building 1 Movement Cost","Stairs Movement Cost","Building 2 Movement Cost","Glacier  Movement Cost","Arena  Movement Cost","Valley Movement Cost","Fence 2 Movement Cost","Snag Movement Cost","Snag Bridge Movement Cost","Sky Movement Cost","Deeps Movement Cost","Ruins 2 Movement Cost","Inn Movement Cost","Barrel Movement Cost","Bone Movement Cost","Dark Movement Cost","Water Movement Cost","Gunnels Movement Cost","Deck Movement Cost","Brace Movement Cost","Mast Movement Cost"
"80BD1C - [Rain] Journeyman, Fighter, Warrior, Cyclops","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","2","255","4","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80BD5D - [Rain] Berserker","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","5","4","4","1","255","3","3","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","3","255","1","255","255"
"80BD9E - [Rain] Brigand, Bael, Elder Bael","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","4","4","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80BDDF - [Rain] Pirate, Fleet","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","3","5","255","1","255","3","3","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","3","255","1","255","255"
"80BE20 - [Rain] Thief, Assassin, Rogue","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","5","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80BE61 – [Rain] Infantry Mages, Gorgon","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","5","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80BEA2 - [Rain] Civilians","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","5","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80BEE3 - [Rain] Horse A Unpromoted (Cavalier, Troubadour)","255","3","1","1","255","1","1","1","1","1","2","1","4","255","1","3","255","255","255","1","255","255","255","1","1","255","255","255","2","3","255","1","1","1","255","1","1","4","255","2","2","2","3","4","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80BF24 - [Rain] Horse A Promoted (Paladin, Great Lord, Valkyrie...)","255","3","1","1","255","1","1","1","1","1","2","1","4","255","1","3","255","7","255","1","255","255","255","1","1","255","255","255","2","3","255","1","1","1","255","1","1","4","255","2","2","2","3","4","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80BF65 - [Rain] Horse B Unpromoted (Tarvos, Mauthe Doog)","255","2","1","1","255","1","1","1","1","1","2","1","3","255","1","2","255","255","255","1","255","255","255","1","1","255","255","255","2","3","255","1","1","1","255","1","1","4","255","2","2","2","2","4","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80BFA6 - [Rain] Horse B Promoted (Maelduin, Gwyllgi, Ranger)","255","2","1","1","255","1","1","1","1","1","2","1","3","255","1","2","255","6","255","1","255","255","255","1","1","255","255","255","2","3","255","1","1","1","255","1","1","4","255","2","2","2","2","4","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80BFE7 – [Rain] Fliers, Manaketes, Phantoms","255","2","2","2","255","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","255","255","2","1","255","1","1","1","255","2","2","2","2","2","2","2","2","2","255","1","2","2","1","255","2","255","2","2","2","2","2","2","2","2","2","2","1","255","255"
"80C028 - [Unused]","255","1","1","1","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","1","1","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","1","255","255","1","255","255","255","255","255","255","1","255","255"
"80C069 - [Snow] Lord, Sniper, Hero, Swordmaster","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","5","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C0AA - [Snow] Non-Axe Infantry (Mercenary, Bonewalker, Recruit, Archer...)","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","5","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C0EB - [Snow] Armor (Knight, General)","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","2","255","255","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C12C - [Snow] Journeyman, Fighter, Warrior, Cyclops","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","2","255","4","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C16D - [Snow] Berserker","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","5","4","4","1","255","3","3","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","3","255","1","255","255"
"80C1AE - [Snow] Brigand, Bael, Elder Bael","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","4","4","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C1EF - [Snow] Pirate, Fleet","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","3","5","255","1","255","3","3","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","3","255","1","255","255"
"80C230 - [Snow] Thief, Assassin, Rogue","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","5","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C271 – [Snow] Infantry Mages, Gorgon","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","5","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C2B2 - [Snow] Civilians","255","2","1","1","255","1","1","1","1","1","2","1","2","255","1","1","255","5","255","1","255","255","255","1","1","255","255","255","1","2","255","1","1","1","255","1","1","3","255","2","2","2","2","3","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C2F3 - [Snow] Horse A Unpromoted (Cavalier, Troubadour)","255","3","1","1","255","1","1","1","1","1","2","1","4","255","1","3","255","255","255","1","255","255","255","1","1","255","255","255","2","3","255","1","1","1","255","1","1","4","255","2","2","2","3","4","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C334 - [Snow] Horse A Promoted (Great Knight, Great Lord, Valkyrie...)","255","3","1","1","255","1","1","1","1","1","2","1","4","255","1","3","255","7","255","1","255","255","255","1","1","255","255","255","2","3","255","1","1","1","255","1","1","4","255","2","2","2","3","4","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C375 - [Snow] Horse B Unpromoted (Tarvos, Mauthe Doog)","255","2","1","1","255","1","1","1","1","1","2","1","3","255","1","2","255","255","255","1","255","255","255","1","1","255","255","255","2","3","255","1","1","1","255","1","1","4","255","2","2","2","2","4","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C3B6 - [Snow] Horse B Promoted (Maelduin, Gwyllgi, Ranger)","255","2","1","1","255","1","1","1","1","1","2","1","3","255","1","2","255","6","255","1","255","255","255","1","1","255","255","255","2","3","255","1","1","1","255","1","1","4","255","2","2","2","2","4","255","1","255","1","1","255","255","255","1","255","255","1","1","255","255","255","255","255","1","255","255"
"80C3F7 – [Snow] Fliers, Manaketes, Phantoms","255","2","2","2","255","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","255","255","2","1","255","1","1","1","255","2","2","2","2","2","2","2","2","2","255","1","2","2","1","255","2","255","2","2","2","2","2","2","2","2","2","2","1","255","255"
"80C438 - [Unused]","255","1","1","1","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","1","1","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","255","1","255","255","1","255","255","255","255","255","255","1","255","255"
